FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String)
Estrella,Bertilsson,F,406,3464682,GREAT FALLS,MT,59401,S,N
Tomonari,Yeap,M,434,9835738,DOLPHIN,VA,23843,M,Y
Alvaro,Rivard,M,408,4059244,ALHAMBRA,CA,91841,S,Y
Neville,Trivett,F,443,9396008,BETHESDA,MD,20816,S,Y
Serban,Melzak,F,208,2986872,PINEHURST,ID,83850,S,N
Farzan,Knowles,M,808,3458649,HONOLULU,HI,96810,S,N
Fredric,Petry,M,478,9307660,GRAYSON,GA,30017,S,N
Timm,Bhagavathi,M,337,1749635,BATON ROUGE,LA,70891,M,Y
Lynnau,Jarzabek,M,865,4649868,BROWNSVILLE,TN,38012,S,N
Etsuko,d Inverno,M,618,9695285,MOUND CITY,IL,62963,M,N
Nate,Koshkin,M,505,9788287,DEMING,NM,88030,M,N
Jolita,Can,M,843,5961844,GABLE,SC,29051,S,N
Blagovest,Heemskerk,M,870,1735525,MALVERN,AR,72104,S,Y
Andris,Gammill,F,256,1565986,BRANTLEY,AL,36009,S,N
Xiaopeng,Cheiner,F,910,5375160,RALEIGH,NC,27690,M,N
Burkhard,Ballin,F,209,2919116,LOS ANGELES,CA,90068,S,N
Sachio,Franzblau,F,309,2988689,HARDIN,IL,62047,S,Y
Yucai,Leonidas,M,307,6717685,AUBURN,WY,83111,S,Y
Meltem,Osterloh,M,202,1444863,WASHINGTON,DC,20539,S,N
Hiroki,Winters,F,205,4628357,VANDIVER,AL,35176,S,Y
Soojung,Breuker,M,920,3786942,GREEN BAY,WI,54303,M,Y
JoAnne,Bergstra,F,857,9812818,NATICK,MA,1760,M,N
Thoms,Ebeling,F,216,8963824,BLISSFIELD,OH,43805,S,N
Yigal,Krabbel,M,765,2132549,CLAYTON,IN,46118,S,N
Rosalyn,Pinckney,M,781,5272356,SALEM,MA,1971,M,Y
Zhibin,Peterka,F,715,1662135,MILWAUKEE,WI,53244,S,N
Keshab,Kubera,M,708,3598771,FOX VALLEY,IL,60599,S,Y
Ragui,Shokrollahi,M,201,7137145,MILLSTONE TOWNSHIP,NJ,8535,S,Y
Felicity,Latyshev,F,307,1331064,CHEYENNE,WY,82009,M,N
Heng,Pelz,M,312,3331255,REDDICK,IL,60961,S,Y
Xiaowei,Michalakopoulos,F,605,1535365,MANDERSON,SD,57756,M,N
Houari,Zaimov,F,443,3949085,SPENCERVILLE,MD,20868,S,Y
Teresemarie,Aso,M,401,6862628,WESTERLY,RI,2891,S,Y
Milvio,Cippico,M,207,3784165,AUGUSTA,ME,4336,S,Y
Surapant,Bail,M,864,5472497,CORDOVA,SC,29039,S,Y
Constantine,Nitsch,F,719,1833382,PENROSE,CO,81240,S,N
Kyosun,Dahlhaus,F,435,7674129,SALT LAKE CITY,UT,84133,M,N
Keiji,Kennamer,F,870,4231116,LUXORA,AR,72358,S,Y
Angkul,Hamrick,F,318,4758528,METAIRIE,LA,70006,S,Y
Pui,Stenstrom,M,937,4409174,COLUMBUS,OH,43209,M,N
Wilmer,Brizzi,F,973,1706348,HACKENSACK,NJ,7601,S,N
Keju,Obradovich,F,828,8747542,ROCKY MOUNT,NC,27801,M,N
Mei,Brolio,F,347,6312873,DEANSBORO,NY,13328,S,N
Daan,Givens,M,308,7872479,BELLEVUE,NE,68123,M,Y
Kuhanandha,Strothotte,M,325,8214378,TOW,TX,78672,S,Y
Sukhmay,Kaio,M,505,4679996,LOS LUNAS,NM,87031,M,N
Joacheim,Goodby,M,605,2409915,WESTPORT,SD,57481,M,Y
Irith,Cestnik,M,308,1628455,WESTON,NE,68070,S,Y
Liao,Viehstaedt,M,920,7134471,IRON BELT,WI,54536,S,Y
Rang,Fordan,M,605,3023147,MILESVILLE,SD,57553,S,Y
Hidetsune,McAffer,M,605,8083276,MURDO,SD,57559,S,N
Giorgio,Aue,M,812,5295445,INDIANAPOLIS,IN,46291,M,Y
Vinod,Olano,F,701,5575034,MICHIGAN,ND,58259,M,N
Wassili,Marinissen,F,970,8764713,CRESTED BUTTE,CO,81224,M,N
Zinovy,Simovich,M,301,6053763,DARLINGTON,MD,21034,M,N
Lingtao,Keohane,M,321,7955178,CAPTIVA,FL,33924,S,N
Royce,Tagansky,F,317,5252037,FLOYDS KNOBS,IN,47119,S,Y
Ramaswami,Wise,F,512,8603448,MISSOURI CITY,TX,77489,M,N
Aikira,Bamford,F,480,9461029,PHOENIX,AZ,85079,S,Y
Puneet,Chown,F,208,6335699,GENESEE,ID,83832,S,Y
Christhard,Shilcrat,M,718,9319214,PORT EWEN,NY,12466,M,Y
Zahi,Baroglio,F,774,3302516,BOSTON,MA,2266,M,N
Feniosky,Akaboshi,M,769,9878822,GEORGETOWN,MS,39078,S,Y
Nobukazu,Desal,F,504,8706692,NORCO,LA,70079,M,N
Mugo,Agius,M,401,1391208,PROVIDENCE,RI,2901,S,N
Mathis,Koblitz,M,307,2522639,NATRONA,WY,82646,M,N
Xuemin,Rich,F,561,5205838,STUART,FL,34994,M,N
Theodosios,Stanculescu,M,707,2755509,SAN DIEGO,CA,92135,S,N
Theodore,Hillebrand,M,571,6352640,CHINCOTEAGUE ISLAND,VA,23336,S,Y
Hussein,Ramsey,F,770,8089183,FAYETTEVILLE,GA,30214,M,Y
Cormac,Gradel,F,605,6159997,HARRISON,SD,57344,S,N
Mechtild,Aigrain,M,712,4533790,BEAVER,IA,50031,S,Y
Nestor,Day,M,978,4609061,ORANGE,MA,1364,M,N
Pratap,Maloney,F,662,7523853,PINOLA,MS,39149,M,Y
Joydeep,Bias,F,602,8483705,KAIBETO,AZ,86053,S,N
M hamed,Quiles,M,928,2336405,GLENDALE,AZ,85304,S,Y
Nabih,Habel,F,605,8471442,OACOMA,SD,57365,M,N
Fredrik,Hanata,M,401,2622073,CENTRAL FALLS,RI,2863,S,N
Koppolu,Guiu,F,913,3071576,TOPEKA,KS,66611,S,Y
Hana,Walinsky,M,276,4483813,WARRENTON,VA,20187,S,Y
Kanwar,Holcombe,F,386,3476780,MIAMI,FL,33299,S,Y
Masaki,Venkataraman,F,479,7725434,WILMOT,AR,71676,S,N
Shivraj,Medvidovic,F,610,8862499,NORTHUMBERLAND,PA,17857,M,Y
Molly,Multari,M,505,5072751,DEXTER,NM,88230,S,N
Edmundo,Thalheim,M,205,6242917,BIRMINGHAM,AL,35228,M,Y
Domen,Bashandy,M,551,4415820,NORTH BRUNSWICK,NJ,8902,M,N
Keju,Click,F,678,1294683,EASTANOLLEE,GA,30538,M,Y
Stefaan,Ullrich,M,843,9856808,CONWAY,SC,29526,M,N
Tulika,Massotte,F,856,8851737,EAST BRUNSWICK,NJ,8816,M,Y
Souri,Muhammad,M,509,4536972,BRINNON,WA,98320,S,N
Berto,Kriegman,M,205,9703645,BIRMINGHAM,AL,35240,S,N
Eddi,Sander,M,787,9837454,LOIZA,PR,772,M,Y
Shinsuke,Tourancheau,F,808,1751614,WAKE ISLAND,HI,96898,M,Y
Steffen,Jacquet,F,336,8999741,GREENSBORO,NC,27413,M,N
Anargyros,Mallett,M,775,2641906,LAS VEGAS,NV,89164,M,N
Alistair,Deuel,F,270,6549539,WASHINGTON,KY,41096,S,Y
Nadir,Gille,F,573,5238484,KANSAS CITY,MO,64172,S,Y
Hilan,Lapkowski,F,803,4488223,COLUMBIA,SC,29208,S,Y
Heping,Kaarela,F,203,2389416,NEW HAVEN,CT,6540,M,N
Tammy,Raje,M,435,6896436,OGDEN,UT,84244,M,Y
HweeHwa,Dharanipragada,F,563,3647693,WALKER,IA,52352,S,N
Kavi,Uhrik,M,580,3032845,OKLAHOMA CITY,OK,73154,S,Y
Tiziano,Haban,F,774,7575533,UPTON,MA,1568,M,N
Willa,Ruemmler,M,336,5345624,RALEIGH,NC,27609,M,Y
Polle,Zeidenstein,F,954,6017062,FORT LAUDERDALE,FL,33323,S,N
Michinori,Rela,F,207,8924041,LEWISTON,ME,4241,S,Y
Subhasish,Werling,M,601,1753083,SLEDGE,MS,38670,S,Y
Alyson,Feuerman,F,707,7325199,POLLOCK PINES,CA,95726,M,N
Sangchul,Dunbar,M,859,2987683,HISEVILLE,KY,42152,M,Y
Nic,Meekings,F,559,7329574,SACRAMENTO,CA,95832,M,Y
Tuvi,Blumenrohr,F,302,1794141,NEWARK,DE,19716,M,N
Jiangtao,Wouk,F,939,9549457,SAN JUAN,PR,926,S,Y
Ren,Achilles,F,406,6275923,WHITEHALL,MT,59759,S,Y
Tassos,Herbst,M,479,6629190,FORT SMITH,AR,72906,S,Y
Adib,Malaveta,F,302,3751331,FENWICK ISLAND,DE,19944,S,N
Adhemar,Prevel,F,931,4073380,ATHENS,TN,37371,S,Y
Gabriella,Nagavamsi,F,802,7033505,NORWICH,VT,5055,S,N
Youngmok,Panagopoulos,M,207,7887698,HARBORSIDE,ME,4642,S,Y
Oron,Conte,F,845,1647741,SYRACUSE,NY,13235,S,N
Yuehong,Picton,F,202,6947080,WASHINGTON,DC,20552,M,Y
Ergun,Zirkelbach,F,719,9659855,BOULDER,CO,80328,M,N
Reme,Masiero,F,815,5918979,CLINTON,IL,61727,S,N
Sebastiano,Gooday,F,662,8987892,JAYESS,MS,39641,M,Y
Naseem,Colorni,M,785,6976679,ABBYVILLE,KS,67510,S,Y
Jefferson,Staggers,M,718,8872009,WALWORTH,NY,14568,M,Y
Yakichi,Wunderlin,F,205,6222467,DEMOPOLIS,AL,36732,S,N
Suzette,Gustafsson,M,612,7817163,HAMPTON,MN,55031,M,N
TRUE,Giovanetti,F,626,2592367,SAN DIEGO,CA,92126,S,N
Mihalis,Piperakis,F,217,9379501,BREESE,IL,62230,M,N
Gill,Goldsby,F,703,1811130,RICHMOND,VA,23232,S,Y
Dammmian,Soreide,M,308,1661977,OMAHA,NE,68172,M,Y
Subhas,Baranowski,M,505,9256869,ALBUQUERQUE,NM,87195,S,N
Maylis,Hemaspaandra,M,662,4462198,JACKSON,MS,39211,M,Y
Aya,Kochskamper,M,207,6775974,BLAINE,ME,4734,S,Y
Palle,Krabbel,M,304,1553860,JUNIOR,WV,26275,M,Y
Satya,Ducret,M,351,8147040,PROVINCETOWN,MA,2657,S,N
Hongwen,Ernst,M,208,1459738,SUN VALLEY,ID,83353,S,N
Terilyn,Balluchi,F,360,5365494,SELAH,WA,98942,M,Y
Stanislav,Nerima,M,808,9275597,SCHOFIELD BARRACKS,HI,96857,S,Y
Ilan,Gaborit,M,270,6699957,CROMONA,KY,41810,S,N
Selmin,Kans,M,202,3291561,WASHINGTON,DC,20216,M,Y
Teri,Rembowski,F,405,7818206,TULSA,OK,74171,S,N
Berry,Rauhe,F,641,2288060,OSKALOOSA,IA,52577,S,Y
Jayadev,Demizu,F,276,8365028,GOLDVEIN,VA,22720,M,N
Joceli,Baldan,M,618,2401541,SPRINGFIELD,IL,62719,S,N
Qui,Malitz,M,651,3898994,AURORA,MN,55705,M,Y
Taizan,McCoy,F,402,7021782,BURR,NE,68324,M,N
Geir,Kara,M,402,8363044,OMAHA,NE,68179,S,N
Djenana,Gravano,F,520,9852017,POLACCA,AZ,86042,M,Y
Carmelo,Terenzi,M,504,1007976,NEW ORLEANS,LA,70129,S,N
Martien,Swartout,M,404,6366305,HORTENSE,GA,31543,S,Y
Bodh,Brazdil,M,307,3574636,WAMSUTTER,WY,82336,S,Y
Zhongcheng,Tarlescu,M,307,5227907,EVANSVILLE,WY,82636,M,N
Annegret,Wolf,M,864,7894250,FLORENCE,SC,29501,S,Y
Roded,Wavish,F,251,6247274,SHANNON,AL,35142,S,N
Vram,Baudino,F,701,1614229,SCRANTON,ND,58653,S,Y
Seongyeol,Auletta,M,505,4933846,ALBUQUERQUE,NM,87195,M,Y
Shaoyu,Rowen,F,567,5354739,SOMERDALE,OH,44678,M,N
Spira,Will,F,614,2733915,NORWICH,OH,43767,M,N
Lifeng,Rivett,F,228,7719951,MERIDIAN,MS,39307,M,N
Nada,Strout,F,314,3985573,HELENA,MO,64459,M,N
Ornan,Tomassini,F,808,8128815,KEALAKEKUA,HI,96750,S,Y
Yingxu,Sensen,M,605,6007109,WINFRED,SD,57076,S,Y
Alexius,Deville,F,262,1892425,HAWTHORNE,WI,54842,S,N
Saulo,Bhatt,F,502,1807770,FLATGAP,KY,41219,S,Y
Rachida,Morrin,F,302,4475664,NEWARK,DE,19718,M,N
Phil,Erie,F,440,9379140,POWHATAN POINT,OH,43942,M,Y
Jaan,Simkin,F,606,4107372,JEREMIAH,KY,41826,M,Y
Toney,Padget,M,412,9574247,GREELEY,PA,18425,M,Y
Seungjoon,Kornatzky,M,605,3843449,PRINGLE,SD,57773,S,Y
Kent,Crames,F,580,3232414,TULSA,OK,74132,S,Y
Subhada,Tuminaro,F,913,6267505,HOISINGTON,KS,67544,M,N
Hosam,Dedood,F,775,9997072,RENO,NV,89503,S,Y
Debbie,Chaturvedi,M,417,1647458,KANSAS CITY,MO,64166,S,N
Hyungjeong,Hofmeyr,F,702,7749221,RUTH,NV,89319,S,Y
Adelinde,Torelli,F,228,6462362,MICHIGAN CITY,MS,38647,S,N
Yahia,Lueh,M,603,4644898,WARREN,NH,3279,S,N
Munehiko,Peck,M,901,4222209,TRIMBLE,TN,38259,M,Y
Zhiming,Kaklamani,F,775,4226400,SMITH,NV,89430,M,Y
Zhenyi,Galdes,F,607,3552344,REMSENBURG,NY,11960,S,Y
Rajamani,Salverda,M,413,9945750,OAK BLUFFS,MA,2557,M,N
Sreerama,Durer,M,717,2054454,WILLIAMSPORT,PA,17702,S,Y
Werasak,Jungmann,F,515,7349027,SHENANDOAH,IA,51601,M,Y
Yousri,Campr,M,504,7257269,FENTON,LA,70640,M,N
Mingsheng,Cedeno,M,207,6254782,WATERFORD,ME,4088,S,Y
Isabella,Lavrac,F,360,1313926,VANCOUVER,WA,98662,S,N
Soraja,Manacher,F,808,8535536,SCHOFIELD BARRACKS,HI,96857,S,N
Michaela,Pols,F,302,5587430,HARRINGTON,DE,19952,S,N
Brig,Mitter,M,435,5714980,SALT LAKE CITY,UT,84123,M,N
Jengwei,Bidwell,F,207,8932215,WEST FORKS,ME,4985,M,Y
Yehea,Priebe,F,240,9408866,SILVER SPRING,MD,20905,M,Y
Berend,Vauttier,F,505,6441913,LAS CRUCES,NM,88013,M,N
Lily,Hallowell,F,787,9915668,VIEQUES,PR,765,S,N
Ned,Nemani,M,808,8872712,LANAI CITY,HI,96763,S,N
Healfdene,Kohlhase,M,775,9734931,SILVERPEAK,NV,89047,S,N
Radha,Mahalanabis,M,712,7948944,SIOUX CENTER,IA,51250,S,N
Deepak,Dimitriev,F,336,5504466,IRON STATION,NC,28080,M,Y
Agha,Kadhim,M,810,6546473,FLINT,MI,48555,M,N
Youfeng,Bod,M,406,3966238,HELENA,MT,59604,M,Y
Juhani,Stanfel,M,228,4852893,COLUMBUS,MS,39704,S,N
Weijing,Tabet,M,870,3835244,RATCLIFF,AR,72951,S,N
Pranjal,Tolga,F,731,1426226,RIDDLETON,TN,37151,M,Y
Kwangsub,Kartik,M,510,7183284,ELDRIDGE,CA,95431,M,N
Djenana,Peuto,F,330,8076218,COLUMBUS,OH,43216,S,N
Bharadwaj,Nitzan,M,316,1003309,TOWANDA,KS,67144,M,N
Juichirou,Thielscher,M,636,1036038,SMITHVILLE,MO,64089,S,Y
Gaetan,McDonnell,M,971,1373613,CRABTREE,OR,97335,S,Y
Kanti,Borgstrom,M,505,2634266,GARFIELD,NM,87936,S,Y
Zvi,Meuser,M,603,4947925,DOVER,NH,3822,M,Y
Zoubir,Miculan,M,307,8988197,NEWCASTLE,WY,82701,M,N
Ernestina,Bishr,M,402,5098755,PAGE,NE,68766,M,Y
Laxmikant,Crosby,M,215,6027181,MILL CREEK,PA,17060,S,Y
Hatsukazu,Chouraqui,M,765,8929282,CICERO,IN,46034,M,N
Cornelia,Bednarek,F,503,2894305,OREGON CITY,OR,97045,S,Y
Devika,Bitter,M,251,6978297,FLORENCE,AL,35630,S,Y
Kazuho,Basermann,F,302,3701027,FENWICK ISLAND,DE,19944,S,Y
Peter,Kriegel,M,262,6779606,ELROY,WI,53929,S,Y
Sidhar,Vetterli,F,319,4642970,VENTURA,IA,50482,S,Y
Jim,Hadon,M,201,1214882,HASKELL,NJ,7420,M,N
Camino,Reed,M,307,1594606,BASIN,WY,82410,M,N
Bian,Fischetti,F,316,9123038,REXFORD,KS,67753,M,Y
Haim,Isenberg,F,804,5238195,RADFORD,VA,24142,M,N
Jianxun,Feeley,F,734,3823683,TWIN LAKE,MI,49457,S,Y
Vasilis,Grana,M,712,3353902,DUBUQUE,IA,52099,M,N
Bella,Dunki,F,312,9094692,ELLERY,IL,62833,S,N
Ronan,Marchok,M,318,5725239,SHREVEPORT,LA,71129,M,Y
Yuzo,Heping,M,702,8232457,LAS VEGAS,NV,89185,M,N
Assia,Nepomnjashchaja,F,870,8979553,BRADLEY,AR,71826,S,N
Liao,Azzam,M,435,5533979,OAK CITY,UT,84649,M,N
Kaye,Muharemagic,M,503,1456689,TILLAMOOK,OR,97141,M,Y
Dave,Blache,F,603,1686719,JEFFERSON,NH,3583,S,Y
Monish,Brazier,M,320,4472625,MONTICELLO,MN,55582,S,Y
Nimmagadda,Yano,M,501,8448714,DE QUEEN,AR,71832,M,N
Vanja,Konstam,M,848,5393890,HAWTHORNE,NJ,7507,S,N
Masako,McWilliams,M,731,2783552,BOLIVAR,TN,38008,M,N
Begona,Varney,M,701,3665903,WHEATLAND,ND,58079,M,Y
Ysolde,Minoura,M,612,6668187,SAINT PAUL,MN,55102,M,Y
Seungwang,Hylton,F,907,9378864,KOYUK,AK,99753,S,Y
Suresh,Tomas,F,430,5114200,SLIDELL,TX,76267,M,Y
Gisela,Tayara,F,620,4805560,HOME,KS,66438,M,Y
Pinaki,Halevi,F,931,3555428,MAURY CITY,TN,38050,S,N
Yellamraju,Bacciotti,M,980,9612574,REIDSVILLE,NC,27323,M,Y
Brajendra,Lanzarone,M,907,7829117,INDIAN,AK,99540,S,Y
Cort,Reistad,M,704,5086766,MAPLE,NC,27956,M,N
Barton,Bala,M,501,1665993,PALESTINE,AR,72372,M,Y
Tassos,Nedjah,M,918,4085162,PAOLI,OK,73074,M,Y
Look,Scheibelhut,M,406,5312270,BOYES,MT,59316,S,N
Olavi,Narendra,M,941,1256928,LAKE WORTH,FL,33466,S,N
Mirna,Rogozhnikova,F,775,9388384,MINA,NV,89422,S,N
Emmett,Undy,F,205,5152989,PHENIX CITY,AL,36867,M,Y
Jaime,Ahanger,M,202,9168804,WASHINGTON,DC,20444,S,Y
Mamata,Mesnard,F,775,6768853,THE LAKES,NV,88901,M,N
Dario,Gracia,F,515,1274703,CEDAR FALLS,IA,50614,S,Y
Tinsley,Nojima,M,606,2237688,BROWDER,KY,42326,S,N
Sterling,Faron,M,802,1339786,WOLCOTT,VT,5680,S,Y
Yongfei,Yaku,F,425,8323275,MONROE,WA,98272,M,Y
Hyuckchul,Hollenberg,F,615,6509113,GADSDEN,TN,38337,S,N
Mariano,Stylianou,F,207,6581534,NEWFIELD,ME,4056,M,Y
Shahrokh,Suwunboriruksa,F,316,3543206,BUCYRUS,KS,66013,M,N
Tarang,Howerton,F,860,1538923,CORNWALL,CT,6753,M,N
Wiebe,Denti,F,413,7427566,BUZZARDS BAY,MA,2542,M,N
Richards,Bereiter,F,307,6747718,MC KINNON,WY,82938,S,Y
Minkai,Pils,M,857,4457264,NORTH FALMOUTH,MA,2556,M,Y
Amit,Bala,M,540,2562473,NORA,VA,24272,M,Y
Nur,Diede,F,425,1402903,SEATTLE,WA,98121,S,N
Mingfang,Poss,M,615,8069018,FLINTVILLE,TN,37335,M,N
Bhanu,Haass,M,660,1558588,HOLT,MO,64048,M,N
Masahide,Kartik,F,727,7149909,SUN CITY CENTER,FL,33573,S,N
Zoe,Demoen,M,304,9169644,OSAGE,WV,26543,M,Y
Hiroyasu,Steffen,F,256,3009159,PELL CITY,AL,35128,S,Y
Kristiina,Ghalwash,M,605,3901538,GAYVILLE,SD,57031,M,Y
Lyle,Tarn,F,208,4116132,COCOLALLA,ID,83813,S,N
Vaibhav,Taka,M,620,9814469,SYCAMORE,KS,67363,M,Y
Darwyn,Walicki,M,318,4962167,LIVONIA,LA,70755,S,Y
Vicente,Rozen,M,614,4335585,MANSFIELD,OH,44902,S,N
Ramasamy,Rahier,F,859,6534110,SCOTTSVILLE,KY,42164,S,Y
Kousuke,Bael,F,608,4706858,JANESVILLE,WI,53546,S,Y
Leighton,Uyar,F,502,9169073,BLOOMFIELD,KY,40008,M,Y
Samual,Kushner,M,229,2201271,PERKINS,GA,30822,M,N
Ortwin,Aczel,M,954,5434089,TAMPA,FL,33688,M,Y
Aiguo,Bhattacharjee,F,224,8331447,ROCKFORD,IL,61101,M,N
Deoraj,Dilger,F,808,6654700,MAKAWELI,HI,96769,M,Y
Lenhart,Roucairol,M,435,5799361,ANNABELLA,UT,84711,M,N
Marina,Ygge,F,727,4043818,LAKESHORE,FL,33854,M,N
Djemal,Welten,M,319,2965365,COLUMBUS CITY,IA,52737,M,Y
Michio,Danneberg,F,360,3482758,TAHOLAH,WA,98587,M,Y
Vitaliano,McDougal,M,302,6083382,NEW CASTLE,DE,19721,M,Y
Mujdat,Flass,F,617,6773400,NORTH HATFIELD,MA,1066,M,N
Shyam,Basermann,F,401,1937183,OAKLAND,RI,2858,M,Y
Ronnie,Gihr,M,503,8619348,KENO,OR,97627,S,Y
Dzung,Mascle,F,601,5154560,WALLS,MS,38680,S,Y
Jaideep,Aybay,M,505,4802308,TREMENTINA,NM,88439,S,N
Natasha,Leemeijer,F,307,6577561,ROCK RIVER,WY,82083,M,N
Deron,Suchak,M,267,5846192,GORDONVILLE,PA,17529,M,N
Bashir,Grushcow,F,802,8586041,SHARON,VT,5065,M,N
Takahiro,Vieweg,M,208,8316393,EASTPORT,ID,83826,M,N
Maryam,Yanike,F,580,2312339,GOLTRY,OK,73739,S,Y
Chetan,Cosica,M,201,6433794,STRATHMERE,NJ,8248,M,Y
Aleksandar,Creech,F,319,7678035,MANSON,IA,50563,S,N
Nabih,Sawaya,F,603,2148823,FARMINGTON,NH,3835,S,Y
Ymte,Gore,M,515,3158902,SAINT ANTHONY,IA,50239,M,N
Rusti,Gerling,M,205,7583453,CHAPMAN,AL,36015,S,Y
Ceon,Matthew,M,870,8224108,FULTON,AR,71838,M,N
Radomir,Foret,F,660,8128023,KANSAS CITY,MO,64168,M,Y
Gerbert,Mashey,F,308,4109392,SAINT EDWARD,NE,68660,S,Y
Tuyan,Facello,M,240,4674740,SANDY SPRING,MD,20860,M,N
Shawna,Vosburgh,F,401,5373373,PROVIDENCE,RI,2918,M,Y
Jongho,Schrift,F,775,9658136,WASHOE VALLEY,NV,89704,M,N
Brent,O Young,F,434,9972089,MC LEAN,VA,22108,M,Y
Evangeline,Pecuchet,F,330,3988143,FARMERSVILLE,OH,45325,M,N
Oya,Zuiderveld,M,907,9854238,ANCHORAGE,AK,99511,M,N
Teofilo,Rajamony,M,904,9284111,SAINT AUGUSTINE,FL,32086,M,Y
Calogero,Terenzi,M,757,8948806,KING AND QUEEN COURT HOUSE,VA,23085,M,N
Iasson,Frolund,M,775,2048186,NORTH LAS VEGAS,NV,89033,S,N
Cho,Herlea,F,304,9366228,CHARLESTON,WV,25392,M,Y
Corentin,Friman,F,574,5326370,INDIANAPOLIS,IN,46205,S,Y
Ahvin,Klement,M,217,3255615,CLAYTONVILLE,IL,60926,M,Y
Yuka,Chown,F,505,2996460,CORDOVA,NM,87523,S,Y
Khaled,Oxenboll,M,808,6309517,HONOLULU,HI,96801,M,N
Antanas,Kishida,F,302,3472262,WILMINGTON,DE,19885,M,Y
Antonios,Kaltofen,F,501,6136703,CHIDESTER,AR,71726,M,Y
Gustav,Seidewitz,F,540,9989118,CASCADE,VA,24069,M,N
Errol,Danielsson,F,972,4076110,ROUND TOP,TX,78954,M,N
Rudy,Kroeker,F,408,8094020,DOUGLAS FLAT,CA,95229,M,N
Minnie,Spiro,M,662,5166401,STEENS,MS,39766,M,Y
Monish,Tuomenoksa,M,860,5877110,TOLLAND,CT,6084,M,N
Yihua,Sykas,F,970,5554852,GREEN MOUNTAIN FALLS,CO,80819,S,Y
Giulio,Torelli,F,520,7474430,PHOENIX,AZ,85033,S,N
Pierluigi,Siochi,F,660,1996995,SKIDMORE,MO,64487,S,Y
Shin ya,Punnen,F,828,9801602,OTTO,NC,28763,M,Y
Camino,Bartschi,M,260,2768840,WINDFALL,IN,46076,S,Y
Wee,Friedland,M,256,1529716,BIRMINGHAM,AL,35278,M,Y
Mang,Bergin,M,912,7617321,POWDER SPRINGS,GA,30127,S,Y
