FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),SingleExemp(Integer),MarriedExemp(Integer),ChildExemp(Integer)
Vinod,Olano,F,701,5575034,MICHIGAN,ND,58259,M,N,0,6600,0
Wassili,Marinissen,F,970,8764713,CRESTED BUTTE,CO,81224,M,N,0,0,0
Zinovy,Simovich,M,301,6053763,DARLINGTON,MD,21034,M,N,0,4800,0
Lingtao,Keohane,M,321,7955178,CAPTIVA,FL,33924,S,N,0,0,0
Royce,Tagansky,F,317,5252037,FLOYDS KNOBS,IN,47119,S,Y,1000,0,1000
Ramaswami,Wise,F,512,8603448,MISSOURI CITY,TX,77489,M,N,0,0,0
Aikira,Bamford,F,480,9461029,PHOENIX,AZ,85079,S,Y,2100,0,2300
Puneet,Chown,F,208,6335699,GENESEE,ID,83832,S,Y,3300,0,3300
Christhard,Shilcrat,M,718,9319214,PORT EWEN,NY,12466,M,Y,0,0,1000
Zahi,Baroglio,F,774,3302516,BOSTON,MA,2266,M,N,0,7150,0
Feniosky,Akaboshi,M,769,9878822,GEORGETOWN,MS,39078,S,Y,6000,0,1500
Nobukazu,Desal,F,504,8706692,NORCO,LA,70079,M,N,0,9000,0
Mugo,Agius,M,401,1391208,PROVIDENCE,RI,2901,S,N,0,0,0
Mathis,Koblitz,M,307,2522639,NATRONA,WY,82646,M,N,0,0,0
Xuemin,Rich,F,561,5205838,STUART,FL,34994,M,N,0,0,0
Theodosios,Stanculescu,M,707,2755509,SAN DIEGO,CA,92135,S,N,87,0,0
Theodore,Hillebrand,M,571,6352640,CHINCOTEAGUE ISLAND,VA,23336,S,Y,900,0,900
Hussein,Ramsey,F,770,8089183,FAYETTEVILLE,GA,30214,M,Y,0,5400,3000
Cormac,Gradel,F,605,6159997,HARRISON,SD,57344,S,N,0,0,0
Mechtild,Aigrain,M,712,4533790,BEAVER,IA,50031,S,Y,40,0,40
Nestor,Day,M,978,4609061,ORANGE,MA,1364,M,N,0,7150,0
Pratap,Maloney,F,662,7523853,PINOLA,MS,39149,M,Y,0,12000,1500
Joydeep,Bias,F,602,8483705,KAIBETO,AZ,86053,S,N,2100,0,0
M hamed,Quiles,M,928,2336405,GLENDALE,AZ,85304,S,Y,2100,0,2300
Nabih,Habel,F,605,8471442,OACOMA,SD,57365,M,N,0,0,0
Fredrik,Hanata,M,401,2622073,CENTRAL FALLS,RI,2863,S,N,0,0,0
Koppolu,Guiu,F,913,3071576,TOPEKA,KS,66611,S,Y,2250,0,2250
Hana,Walinsky,M,276,4483813,WARRENTON,VA,20187,S,Y,900,0,900
Kanwar,Holcombe,F,386,3476780,MIAMI,FL,33299,S,Y,0,0,0
Masaki,Venkataraman,F,479,7725434,WILMOT,AR,71676,S,N,20,0,0
Shivraj,Medvidovic,F,610,8862499,NORTHUMBERLAND,PA,17857,M,Y,0,0,0
Molly,Multari,M,505,5072751,DEXTER,NM,88230,S,N,3300,0,0
Edmundo,Thalheim,M,205,6242917,BIRMINGHAM,AL,35228,M,Y,0,3000,300
Domen,Bashandy,M,551,4415820,NORTH BRUNSWICK,NJ,8902,M,N,0,2000,0
Keju,Click,F,678,1294683,EASTANOLLEE,GA,30538,M,Y,0,5400,3000
Stefaan,Ullrich,M,843,9856808,CONWAY,SC,29526,M,N,0,6600,0
Tulika,Massotte,F,856,8851737,EAST BRUNSWICK,NJ,8816,M,Y,0,2000,1500
Souri,Muhammad,M,509,4536972,BRINNON,WA,98320,S,N,0,0,0
Berto,Kriegman,M,205,9703645,BIRMINGHAM,AL,35240,S,N,1500,0,0
Eddi,Sander,M,787,9837454,LOIZA,PR,772,M,Y,0,0,0
Shinsuke,Tourancheau,F,808,1751614,WAKE ISLAND,HI,96898,M,Y,0,2080,1040
Steffen,Jacquet,F,336,8999741,GREENSBORO,NC,27413,M,N,0,6600,0
Anargyros,Mallett,M,775,2641906,LAS VEGAS,NV,89164,M,N,0,0,0
Alistair,Deuel,F,270,6549539,WASHINGTON,KY,41096,S,Y,20,0,20
Nadir,Gille,F,573,5238484,KANSAS CITY,MO,64172,S,Y,2100,0,1200
Hilan,Lapkowski,F,803,4488223,COLUMBIA,SC,29208,S,Y,3300,0,3300
Heping,Kaarela,F,203,2389416,NEW HAVEN,CT,6540,M,N,0,24500,0
Tammy,Raje,M,435,6896436,OGDEN,UT,84244,M,Y,0,4950,2475
HweeHwa,Dharanipragada,F,563,3647693,WALKER,IA,52352,S,N,40,0,0
Kavi,Uhrik,M,580,3032845,OKLAHOMA CITY,OK,73154,S,Y,1000,0,1000
Tiziano,Haban,F,774,7575533,UPTON,MA,1568,M,N,0,7150,0
Willa,Ruemmler,M,336,5345624,RALEIGH,NC,27609,M,Y,0,6600,3300
Polle,Zeidenstein,F,954,6017062,FORT LAUDERDALE,FL,33323,S,N,0,0,0
Michinori,Rela,F,207,8924041,LEWISTON,ME,4241,S,Y,2850,0,2850
Subhasish,Werling,M,601,1753083,SLEDGE,MS,38670,S,Y,6000,0,1500
Alyson,Feuerman,F,707,7325199,POLLOCK PINES,CA,95726,M,N,0,174,0
Sangchul,Dunbar,M,859,2987683,HISEVILLE,KY,42152,M,Y,0,40,20
Nic,Meekings,F,559,7329574,SACRAMENTO,CA,95832,M,Y,0,174,272
Tuvi,Blumenrohr,F,302,1794141,NEWARK,DE,19716,M,N,0,220,0
Jiangtao,Wouk,F,939,9549457,SAN JUAN,PR,926,S,Y,0,0,0
Ren,Achilles,F,406,6275923,WHITEHALL,MT,59759,S,Y,1900,0,1900
Tassos,Herbst,M,479,6629190,FORT SMITH,AR,72906,S,Y,20,0,20
Adib,Malaveta,F,302,3751331,FENWICK ISLAND,DE,19944,S,N,110,0,0
Adhemar,Prevel,F,931,4073380,ATHENS,TN,37371,S,Y,0,0,0
Gabriella,Nagavamsi,F,802,7033505,NORWICH,VT,5055,S,N,3300,0,0
Youngmok,Panagopoulos,M,207,7887698,HARBORSIDE,ME,4642,S,Y,2850,0,2850
Oron,Conte,F,845,1647741,SYRACUSE,NY,13235,S,N,0,0,0
Yuehong,Picton,F,202,6947080,WASHINGTON,DC,20552,M,Y,0,2740,1370
Ergun,Zirkelbach,F,719,9659855,BOULDER,CO,80328,M,N,0,0,0
Reme,Masiero,F,815,5918979,CLINTON,IL,61727,S,N,2000,0,0
Sebastiano,Gooday,F,662,8987892,JAYESS,MS,39641,M,Y,0,12000,1500
Naseem,Colorni,M,785,6976679,ABBYVILLE,KS,67510,S,Y,2250,0,2250
Jefferson,Staggers,M,718,8872009,WALWORTH,NY,14568,M,Y,0,0,1000
Yakichi,Wunderlin,F,205,6222467,DEMOPOLIS,AL,36732,S,N,1500,0,0
Suzette,Gustafsson,M,612,7817163,HAMPTON,MN,55031,M,N,0,6600,0
TRUE,Giovanetti,F,626,2592367,SAN DIEGO,CA,92126,S,N,87,0,0
Mihalis,Piperakis,F,217,9379501,BREESE,IL,62230,M,N,0,4000,0
Gill,Goldsby,F,703,1811130,RICHMOND,VA,23232,S,Y,900,0,900
Dammmian,Soreide,M,308,1661977,OMAHA,NE,68172,M,Y,0,206,103
Subhas,Baranowski,M,505,9256869,ALBUQUERQUE,NM,87195,S,N,3300,0,0
Maylis,Hemaspaandra,M,662,4462198,JACKSON,MS,39211,M,Y,0,12000,1500
Aya,Kochskamper,M,207,6775974,BLAINE,ME,4734,S,Y,2850,0,2850
Palle,Krabbel,M,304,1553860,JUNIOR,WV,26275,M,Y,0,4000,2000
Satya,Ducret,M,351,8147040,PROVINCETOWN,MA,2657,S,N,3575,0,0
Hongwen,Ernst,M,208,1459738,SUN VALLEY,ID,83353,S,N,3300,0,0
Terilyn,Balluchi,F,360,5365494,SELAH,WA,98942,M,Y,0,0,0
Stanislav,Nerima,M,808,9275597,SCHOFIELD BARRACKS,HI,96857,S,Y,1040,0,1040
Ilan,Gaborit,M,270,6699957,CROMONA,KY,41810,S,N,20,0,0
Selmin,Kans,M,202,3291561,WASHINGTON,DC,20216,M,Y,0,2740,1370
Teri,Rembowski,F,405,7818206,TULSA,OK,74171,S,N,1000,0,0
Berry,Rauhe,F,641,2288060,OSKALOOSA,IA,52577,S,Y,40,0,40
Jayadev,Demizu,F,276,8365028,GOLDVEIN,VA,22720,M,N,0,1800,0
Joceli,Baldan,M,618,2401541,SPRINGFIELD,IL,62719,S,N,2000,0,0
Qui,Malitz,M,651,3898994,AURORA,MN,55705,M,Y,0,6600,3300
Taizan,McCoy,F,402,7021782,BURR,NE,68324,M,N,0,206,0
Geir,Kara,M,402,8363044,OMAHA,NE,68179,S,N,103,0,0
Djenana,Gravano,F,520,9852017,POLACCA,AZ,86042,M,Y,0,4200,2300
Carmelo,Terenzi,M,504,1007976,NEW ORLEANS,LA,70129,S,N,4500,0,0
Martien,Swartout,M,404,6366305,HORTENSE,GA,31543,S,Y,2700,0,3000
Bodh,Brazdil,M,307,3574636,WAMSUTTER,WY,82336,S,Y,0,0,0
Zhongcheng,Tarlescu,M,307,5227907,EVANSVILLE,WY,82636,M,N,0,0,0
Annegret,Wolf,M,864,7894250,FLORENCE,SC,29501,S,Y,3300,0,3300
Roded,Wavish,F,251,6247274,SHANNON,AL,35142,S,N,1500,0,0
Vram,Baudino,F,701,1614229,SCRANTON,ND,58653,S,Y,3300,0,3300
Seongyeol,Auletta,M,505,4933846,ALBUQUERQUE,NM,87195,M,Y,0,6600,3300
Shaoyu,Rowen,F,567,5354739,SOMERDALE,OH,44678,M,N,0,2600,0
Spira,Will,F,614,2733915,NORWICH,OH,43767,M,N,0,2600,0
Lifeng,Rivett,F,228,7719951,MERIDIAN,MS,39307,M,N,0,12000,0
Nada,Strout,F,314,3985573,HELENA,MO,64459,M,N,0,4200,0
Ornan,Tomassini,F,808,8128815,KEALAKEKUA,HI,96750,S,Y,1040,0,1040
Yingxu,Sensen,M,605,6007109,WINFRED,SD,57076,S,Y,0,0,0
Alexius,Deville,F,262,1892425,HAWTHORNE,WI,54842,S,N,700,0,0
Saulo,Bhatt,F,502,1807770,FLATGAP,KY,41219,S,Y,20,0,20
Rachida,Morrin,F,302,4475664,NEWARK,DE,19718,M,N,0,220,0
Phil,Erie,F,440,9379140,POWHATAN POINT,OH,43942,M,Y,0,2600,1300
Jaan,Simkin,F,606,4107372,JEREMIAH,KY,41826,M,Y,0,40,20
Toney,Padget,M,412,9574247,GREELEY,PA,18425,M,Y,0,0,0
Seungjoon,Kornatzky,M,605,3843449,PRINGLE,SD,57773,S,Y,0,0,0
Kent,Crames,F,580,3232414,TULSA,OK,74132,S,Y,1000,0,1000
Subhada,Tuminaro,F,913,6267505,HOISINGTON,KS,67544,M,N,0,4500,0
Hosam,Dedood,F,775,9997072,RENO,NV,89503,S,Y,0,0,0
Debbie,Chaturvedi,M,417,1647458,KANSAS CITY,MO,64166,S,N,2100,0,0
Hyungjeong,Hofmeyr,F,702,7749221,RUTH,NV,89319,S,Y,0,0,0
Adelinde,Torelli,F,228,6462362,MICHIGAN CITY,MS,38647,S,N,6000,0,0
Yahia,Lueh,M,603,4644898,WARREN,NH,3279,S,N,0,0,0
Munehiko,Peck,M,901,4222209,TRIMBLE,TN,38259,M,Y,0,0,0
Zhiming,Kaklamani,F,775,4226400,SMITH,NV,89430,M,Y,0,0,0
Zhenyi,Galdes,F,607,3552344,REMSENBURG,NY,11960,S,Y,0,0,1000
Rajamani,Salverda,M,413,9945750,OAK BLUFFS,MA,2557,M,N,0,7150,0
Sreerama,Durer,M,717,2054454,WILLIAMSPORT,PA,17702,S,Y,0,0,0
Werasak,Jungmann,F,515,7349027,SHENANDOAH,IA,51601,M,Y,0,80,40
Yousri,Campr,M,504,7257269,FENTON,LA,70640,M,N,0,9000,0
Mingsheng,Cedeno,M,207,6254782,WATERFORD,ME,4088,S,Y,2850,0,2850
Isabella,Lavrac,F,360,1313926,VANCOUVER,WA,98662,S,N,0,0,0
Soraja,Manacher,F,808,8535536,SCHOFIELD BARRACKS,HI,96857,S,N,1040,0,0
Michaela,Pols,F,302,5587430,HARRINGTON,DE,19952,S,N,110,0,0
Brig,Mitter,M,435,5714980,SALT LAKE CITY,UT,84123,M,N,0,4950,0
Jengwei,Bidwell,F,207,8932215,WEST FORKS,ME,4985,M,Y,0,5700,2850
Yehea,Priebe,F,240,9408866,SILVER SPRING,MD,20905,M,Y,0,4800,2400
Berend,Vauttier,F,505,6441913,LAS CRUCES,NM,88013,M,N,0,6600,0
Lily,Hallowell,F,787,9915668,VIEQUES,PR,765,S,N,0,0,0
Ned,Nemani,M,808,8872712,LANAI CITY,HI,96763,S,N,1040,0,0
Healfdene,Kohlhase,M,775,9734931,SILVERPEAK,NV,89047,S,N,0,0,0
Radha,Mahalanabis,M,712,7948944,SIOUX CENTER,IA,51250,S,N,40,0,0
Deepak,Dimitriev,F,336,5504466,IRON STATION,NC,28080,M,Y,0,6600,3300
Agha,Kadhim,M,810,6546473,FLINT,MI,48555,M,N,0,6200,0
Youfeng,Bod,M,406,3966238,HELENA,MT,59604,M,Y,0,3800,1900
Juhani,Stanfel,M,228,4852893,COLUMBUS,MS,39704,S,N,6000,0,0
Weijing,Tabet,M,870,3835244,RATCLIFF,AR,72951,S,N,20,0,0
Pranjal,Tolga,F,731,1426226,RIDDLETON,TN,37151,M,Y,0,0,0
Kwangsub,Kartik,M,510,7183284,ELDRIDGE,CA,95431,M,N,0,174,0
Djenana,Peuto,F,330,8076218,COLUMBUS,OH,43216,S,N,1300,0,0
Bharadwaj,Nitzan,M,316,1003309,TOWANDA,KS,67144,M,N,0,4500,0
Juichirou,Thielscher,M,636,1036038,SMITHVILLE,MO,64089,S,Y,2100,0,1200
Gaetan,McDonnell,M,971,1373613,CRABTREE,OR,97335,S,Y,159,0,159
Kanti,Borgstrom,M,505,2634266,GARFIELD,NM,87936,S,Y,3300,0,3300
Zvi,Meuser,M,603,4947925,DOVER,NH,3822,M,Y,0,0,0
Zoubir,Miculan,M,307,8988197,NEWCASTLE,WY,82701,M,N,0,0,0
Ernestina,Bishr,M,402,5098755,PAGE,NE,68766,M,Y,0,206,103
Laxmikant,Crosby,M,215,6027181,MILL CREEK,PA,17060,S,Y,0,0,0
Hatsukazu,Chouraqui,M,765,8929282,CICERO,IN,46034,M,N,0,2000,0
Cornelia,Bednarek,F,503,2894305,OREGON CITY,OR,97045,S,Y,159,0,159
Devika,Bitter,M,251,6978297,FLORENCE,AL,35630,S,Y,1500,0,300
Kazuho,Basermann,F,302,3701027,FENWICK ISLAND,DE,19944,S,Y,110,0,110
Peter,Kriegel,M,262,6779606,ELROY,WI,53929,S,Y,700,0,400
Sidhar,Vetterli,F,319,4642970,VENTURA,IA,50482,S,Y,40,0,40
Jim,Hadon,M,201,1214882,HASKELL,NJ,7420,M,N,0,2000,0
Camino,Reed,M,307,1594606,BASIN,WY,82410,M,N,0,0,0
Bian,Fischetti,F,316,9123038,REXFORD,KS,67753,M,Y,0,4500,2250
Haim,Isenberg,F,804,5238195,RADFORD,VA,24142,M,N,0,1800,0
Jianxun,Feeley,F,734,3823683,TWIN LAKE,MI,49457,S,Y,3100,0,3100
Vasilis,Grana,M,712,3353902,DUBUQUE,IA,52099,M,N,0,80,0
Bella,Dunki,F,312,9094692,ELLERY,IL,62833,S,N,2000,0,0
Ronan,Marchok,M,318,5725239,SHREVEPORT,LA,71129,M,Y,0,9000,1000
Yuzo,Heping,M,702,8232457,LAS VEGAS,NV,89185,M,N,0,0,0
Assia,Nepomnjashchaja,F,870,8979553,BRADLEY,AR,71826,S,N,20,0,0
Liao,Azzam,M,435,5533979,OAK CITY,UT,84649,M,N,0,4950,0
Kaye,Muharemagic,M,503,1456689,TILLAMOOK,OR,97141,M,Y,0,318,159
Dave,Blache,F,603,1686719,JEFFERSON,NH,3583,S,Y,0,0,0
Monish,Brazier,M,320,4472625,MONTICELLO,MN,55582,S,Y,3300,0,3300
Nimmagadda,Yano,M,501,8448714,DE QUEEN,AR,71832,M,N,0,40,0
Vanja,Konstam,M,848,5393890,HAWTHORNE,NJ,7507,S,N,1000,0,0
Masako,McWilliams,M,731,2783552,BOLIVAR,TN,38008,M,N,0,0,0
Begona,Varney,M,701,3665903,WHEATLAND,ND,58079,M,Y,0,6600,3300
Ysolde,Minoura,M,612,6668187,SAINT PAUL,MN,55102,M,Y,0,6600,3300
Seungwang,Hylton,F,907,9378864,KOYUK,AK,99753,S,Y,0,0,0
Suresh,Tomas,F,430,5114200,SLIDELL,TX,76267,M,Y,0,0,0
Gisela,Tayara,F,620,4805560,HOME,KS,66438,M,Y,0,4500,2250
Pinaki,Halevi,F,931,3555428,MAURY CITY,TN,38050,S,N,0,0,0
Yellamraju,Bacciotti,M,980,9612574,REIDSVILLE,NC,27323,M,Y,0,6600,3300
Brajendra,Lanzarone,M,907,7829117,INDIAN,AK,99540,S,Y,0,0,0
Cort,Reistad,M,704,5086766,MAPLE,NC,27956,M,N,0,6600,0
Barton,Bala,M,501,1665993,PALESTINE,AR,72372,M,Y,0,40,20
Tassos,Nedjah,M,918,4085162,PAOLI,OK,73074,M,Y,0,2000,1000
Look,Scheibelhut,M,406,5312270,BOYES,MT,59316,S,N,1900,0,0
Olavi,Narendra,M,941,1256928,LAKE WORTH,FL,33466,S,N,0,0,0
Mirna,Rogozhnikova,F,775,9388384,MINA,NV,89422,S,N,0,0,0
Emmett,Undy,F,205,5152989,PHENIX CITY,AL,36867,M,Y,0,3000,300
Jaime,Ahanger,M,202,9168804,WASHINGTON,DC,20444,S,Y,1370,0,1370
Mamata,Mesnard,F,775,6768853,THE LAKES,NV,88901,M,N,0,0,0
Dario,Gracia,F,515,1274703,CEDAR FALLS,IA,50614,S,Y,40,0,40
Tinsley,Nojima,M,606,2237688,BROWDER,KY,42326,S,N,20,0,0
Sterling,Faron,M,802,1339786,WOLCOTT,VT,5680,S,Y,3300,0,3300
Yongfei,Yaku,F,425,8323275,MONROE,WA,98272,M,Y,0,0,0
Hyuckchul,Hollenberg,F,615,6509113,GADSDEN,TN,38337,S,N,0,0,0
Mariano,Stylianou,F,207,6581534,NEWFIELD,ME,4056,M,Y,0,5700,2850
Shahrokh,Suwunboriruksa,F,316,3543206,BUCYRUS,KS,66013,M,N,0,4500,0
Tarang,Howerton,F,860,1538923,CORNWALL,CT,6753,M,N,0,24500,0
Wiebe,Denti,F,413,7427566,BUZZARDS BAY,MA,2542,M,N,0,7150,0
Richards,Bereiter,F,307,6747718,MC KINNON,WY,82938,S,Y,0,0,0
Minkai,Pils,M,857,4457264,NORTH FALMOUTH,MA,2556,M,Y,0,7150,1000
Amit,Bala,M,540,2562473,NORA,VA,24272,M,Y,0,1800,900
Nur,Diede,F,425,1402903,SEATTLE,WA,98121,S,N,0,0,0
Mingfang,Poss,M,615,8069018,FLINTVILLE,TN,37335,M,N,0,0,0
Bhanu,Haass,M,660,1558588,HOLT,MO,64048,M,N,0,4200,0
Masahide,Kartik,F,727,7149909,SUN CITY CENTER,FL,33573,S,N,0,0,0
Zoe,Demoen,M,304,9169644,OSAGE,WV,26543,M,Y,0,4000,2000
Hiroyasu,Steffen,F,256,3009159,PELL CITY,AL,35128,S,Y,1500,0,300
Kristiina,Ghalwash,M,605,3901538,GAYVILLE,SD,57031,M,Y,0,0,0
Lyle,Tarn,F,208,4116132,COCOLALLA,ID,83813,S,N,3300,0,0
Vaibhav,Taka,M,620,9814469,SYCAMORE,KS,67363,M,Y,0,4500,2250
Darwyn,Walicki,M,318,4962167,LIVONIA,LA,70755,S,Y,4500,0,1000
Vicente,Rozen,M,614,4335585,MANSFIELD,OH,44902,S,N,1300,0,0
